,Title,Instrumentalist,Vocalist,Date,Location,Genre,Music Composer,Lyrics Composer,Year of Composition,Recording Info,File ID
4160,Mi refugio,Orquesta Aníbal Troilo,Instrumental,1970-12-28,Buenos Aires,Tango,Juan Carlos Cobián,Pedro Numa Córdoba,,RCA-Victor AVL-4006 11152,1298
4161,Mi refugio,Orquesta Carlos Di Sarli,Instrumental,1941-04-18,Buenos Aires,Tango,Juan Carlos Cobián,Pedro Numa Córdoba,,RCA-Victor 39266 39855,
4166,Mi romance,Orquesta Ricardo Tanturi,Alberto Castillo,1941-07-07,Buenos Aires,Vals,José Raúl Iglesias,Juan Bautista Gatti,,RCA-Victor 39338 59560,
4167,Mi San Isidro,,Oscar Alonso,1971-06-25,Buenos Aires,Tango,Alberto Caroprese,"María Grosso, Melchor Posse",1971,Odeon,
4168,Mi sentencia,Orquesta Francini-Pontier,Julio Sosa,1951-04-18,Buenos Aires,Tango,Armando Pontier,Armando Pontier,,RCA-Victor 63-0025 94097,
4169,Mi serenata,Orquesta Francisco Canaro,Francisco Amor,1940-03-14,Buenos Aires,Tango,Edgardo Donato,Juan Carlos Thorry,,Odeon 5128 10346,6330
4170,Mi serenata,Orquesta Osvaldo Pugliese,"Miguel Montero, Jorge Maciel",1955-09-02,Buenos Aires,Tango,Edgardo Donato,Juan Carlos Thorry,,Odeon 51802 20441,
4174,Mi tango es triste,Orquesta Miguel Caló,Raúl Iriarte,1944-08-28,Buenos Aires,Tango,Elías Randal,Marvil,1944,Odeon 8392 14056,
4175,Mi tango triste (Tango triste),Orquesta Aníbal Troilo,Alberto Marino,1946-11-28,Buenos Aires,Tango,Aníbal Troilo,José María Contursi,1946,RCA-Victor 60-1138 82503,
4176,Mi tango triste (Tango triste),Orquesta Miguel Caló,Alberto Marino,1967-05-29,Buenos Aires,Tango,Aníbal Troilo,José María Contursi,1946,Odeon LDB-126 33482,
4179,Mi taza de café,Orquesta Ricardo Malerba,Orlando Medina,1943-11-08,Buenos Aires,Tango,Alfredo Malerba,Homero Manzi,1943,Odeon 5558 13343,
4182,Mi verdad [b],Orquesta Osvaldo Fresedo,Roberto Bayot,1961-09-27,Buenos Aires,Tango,José Márquez,Oscar Fresedo,1962,CBS-Columbia 8195 3130,7288
4184,Mi vida en tus manos,Orquesta Rodolfo Biagi,Hugo Duval,1957-12-28,Buenos Aires,Tango,Oscar de la Fuente,Oscar de la Fuente,,Columbia 15269 1043,
4185,Mi vieja ribera,Orquesta Lucio Demare,Raúl Berón,1943-10-13,Buenos Aires,Tango,Julián Ortiz,Luis Mejías,,Odeon 8073 13365,
4186,Mi vieja viola,Orquesta Aníbal Troilo,Jorge Casal,1951-02-19,Buenos Aires,Tango,Humberto Correa,Humberto Correa,1932,T.K. S 5028 62,
4187,Mi vieja viola,Orquesta Aníbal Troilo,Tito Reyes,1964-02-03,Buenos Aires,Tango,Humberto Correa,Humberto Correa,1932,RCA-Victor AVL-3528 4162,
4188,Mi vieja viola,Orquesta Ángel Vargas dir: Eduardo Del Piano,Ángel Vargas,1950-10-20,Buenos Aires,Tango,Humberto Correa,Humberto Correa,1932,RCA-Victor 60-2051 93911,
4189,Mi vieja viola,Orquesta José Basso,Oscar Ferrari,1950-11-17,Buenos Aires,Tango,Humberto Correa,Humberto Correa,1932,Odeon 55185 17893,1439
4192,Mi viejo barrio,Orquesta Ángel D'Agostino,Ángel Vargas,1944-08-08,Buenos Aires,Tango,Víctor D'Amario,Francisco Lío,,RCA-Victor 60-0512 79806,
4194,Mi viejo Buenos Aires,Orquesta Ángel D'Agostino,Tino García,1962-05-06,Buenos Aires,Tango,Agustín Minotti,Agustín Minotti,1954,RCA-Victor AVS-4422 MAAB-3816,
4196,Mi viejo el remendón,Orquesta Aníbal Troilo,Tito Reyes,1965-11-12,Buenos Aires,Tango,Alberto Mastra,Alberto Mastra,,RCA-Victor AVL-3632 5455,
4198,Mi viejo es amigo mío,Orquesta Osvaldo Pugliese,Guillermo Galvé,1981-12-03,Buenos Aires,Milonga,Horacio Quintana,Julio Martín,1982,Odeon 6449 46083,
4200,Mi viejo reloj,Orquesta Aníbal Troilo,Instrumental,1965-01-07,Buenos Aires,Tango,Osvaldo Fresedo,,,RCA-Victor AVL-3577 4866,
4201,Mi viejo reloj,Orquesta Aníbal Troilo,Instrumental,1963-06-11,Buenos Aires,Tango,Osvaldo Fresedo,,,RCA-Victor AVL-3486 3882,
4203,Mía,Orquesta Adolfo Carabelli,Carlos Lafuente,1933-04-11,Buenos Aires,Tango,"Elvino Vardaro, Oscar Arona",Celedonio Flores,,RCA-Victor 37376,5680
4204,Mía (Para ti),Orquesta Alfredo De Angelis,Carlos Dante,1954-06-23,Buenos Aires,Tango,José Bohr,Juan Andrés Caruso,,Odeon 55966-B 19539,
4206,Micifuz,,Carlos Gardel,1927-07-20,Buenos Aires,Tango,Adolfo Avilés,Enrique Maroni,,Odeon 18215 E-1042,1871
4210,Mientras duerme la ciudad,Orquesta Osmar Maderna,Luis Tolosa,1946-05-13,Buenos Aires,Tango,Alberto Suárez Villanueva,Oscar Rubens,,RCA-Victor 60-0943,
4211,Mientras duerme la ciudad,Orquesta Rodolfo Biagi,Carlos Saavedra,1946-05-23,Buenos Aires,Tango,Alberto Suárez Villanueva,Oscar Rubens,,Odeon 5661 15527,2557
4212,Mientras gime el bandoneón,Orquesta Aníbal Troilo,Floreal Ruiz,1946-11-28,Buenos Aires,Tango,Enrique Cadícamo,Enrique Cadícamo,,RCA-Victor 60-1138 82504,
4213,Mientras tú no llegas,Orquesta Carlos García,Oscar Alonso,1968-10-14,Buenos Aires,Tango,Manuel Sucher,Carlos Bahr,,Odeon LDS-854,
4215,Mientras viva,Orquesta Miguel Caló,Raúl Garcés,1957-06-18,Buenos Aires,Tango,Lucio Demare,Eugenio Majul,1957,Odeon 52188 22213,
4217,Miguel Ángel,Orquesta Francisco Canaro,Guillermo Rico,1945-05-07,Buenos Aires,Tango,Vicente Demarco,Carlos Pesce,,Odeon 5266 14611,
4218,Miguelito el arriero,Orquesta Alfredo De Angelis,"Carlos Dante, Oscar Larroca",1951-11-05,Buenos Aires,Tango,Hipólito Caron,Hipólito Oneca,,Odeon 55302-B 18256,
4219,Mil novecientos diez,Orquesta Ángel Vargas dir: Eduardo Del Piano,Ángel Vargas,1948-09-27,Buenos Aires,Tango,Benigno Calvelo,Leopoldo Díaz Vélez,1948,RCA-Victor 60-1688 91070,
4220,Milagro de tango,Orquesta Juan D'Arienzo,Armando Laborde,1967-11-14,Buenos Aires,Tango,Dante Sciarra Vignoli,Franco Lanata,,RCA-Victor AVL-3854 RAAN-7528,
4221,Milonga antigua,Orquesta Miguel Caló,Raúl Berón,1942-12-01,Buenos Aires,Milonga,Carlos Parodi,Rafael Pignataro,1942,Odeon 8371 12421,
4222,Milonga burrera,,Jorge Vidal,1953-10-15,Buenos Aires,Milonga,Jaime Vila,Ernesto Cardenal,,EMI-Odeon,3683
4223,Milonga compadre,Orquesta Pedro Laurenz,Juan Carlos Casas,1938-05-15,Buenos Aires,Milonga,José Mastropietro,Carlos Bahr,,RCA-Victor 38460 12273,5931
4228,Milonga de corralón,Orquesta Aníbal Troilo,Tito Reyes,1970-04-14,Buenos Aires,Milonga,Horacio Quintana,Arturo De La Torre,1969,RCA-Victor AVL-3918 9855,
4229,Milonga de los fortines,Orquesta Típica Victor,Mariano Balcarce,1937-09-28,Buenos Aires,Milonga,Sebastián Piana,Homero Manzi,,RCA-Victor 38285 93918,7679
4232,Milonga de mi flor,Orquesta Pedro Laurenz,Juan Carlos Casas,1940-06-28,Buenos Aires,Milonga,Feliciano Brunelli,Carlos Bahr,,RCA-Victor 39016 39341,
4233,Milonga de mi tierra,Orquesta Osvaldo Pugliese,Jorge Rubino,1943-10-21,Buenos Aires,Milonga,Alberto Pugliese,José Sassone,,Odeon 7662 13288,250
4234,Milonga de mis amores,Orquesta Pedro Laurenz,Héctor Farrel,1937-07-14,Buenos Aires,Milonga,Pedro Laurenz,José María Contursi,1937,RCA-Victor 38236 93815,
4235,Milonga de mis amores,Orquesta Pedro Laurenz,Instrumental,1944-01-14,Buenos Aires,Milonga,Pedro Laurenz,José María Contursi,1937,Odeon 7635 13523,1947
4240,Milonga del centenario,Orquesta Carlos Di Sarli,Antonio Rodríguez Lesende,1940-04-17,Buenos Aires,Milonga,Carlos Di Sarli,Carlos Moreno,,RCA-Victor 38961 38256,
4244,Milonga del novecientos,Orquesta Leopoldo Federico,Julio Sosa,1964-11-18,Buenos Aires,Milonga,Sebastián Piana,Homero Manzi,1933,CBS-Columbia 7167 4472,
4247,Milonga del sentimiento,Orquesta Carlos Di Sarli,Roberto Rufino,1940-02-09,Buenos Aires,Milonga,"Juan Carlos Barbará, Rafael Dadino","Juan Carlos Barbará, Rafael Dadino",,RCA-Victor 39824 39202,
4252,Milonga en negro,Orquesta Aníbal Troilo,Edmundo Rivero,1949-03-31,Buenos Aires,Milonga,Edmundo Rivero,Edmundo Rivero,,RCA-Victor 60-1781 91271,
4253,Milonga en rojo,Orquesta Aníbal Troilo,"Floreal Ruiz, Alberto Marino",1944-12-19,Buenos Aires,Milonga,"Lucio Demare, Roberto Fugazot",José González Castillo,,RCA-Victor 60-0606 79991,
4254,Milonga en rojo,Orquesta Leopoldo Federico,Julio Sosa,1962-05-11,Buenos Aires,Milonga,"Lucio Demare, Roberto Fugazot",José González Castillo,,CBS-Columbia 8340 2965,
4255,Milonga en rojo,Orquesta Lucio Demare,Juan Carlos Miranda,1942-09-03,Buenos Aires,Milonga,"Lucio Demare, Roberto Fugazot",José González Castillo,,Odeon 8057 12194,
4258,Milonga milonguera,Orquesta Miguel Caló,Instrumental,1957-07-11,Buenos Aires,Milonga,"Miguel Caló, Orlando Trípodi",,,Odeon 52201 22271,
4261,Milonga para Gardel,Orquesta Ángel Vargas dir: Eduardo Del Piano,Ángel Vargas,1947-11-03,Buenos Aires,Milonga,Carlos Viván,Horacio Sanguinetti,1947,RCA-Victor 60-1484 83738,
4262,Milonga para Gardel,Orquesta Osvaldo Pugliese,"Abel Córdoba, Adrián Guida",1985-04-30,Buenos Aires,Milonga,Carlos Viván,Horacio Sanguinetti,1947,Odeon,
4263,Milonga para Gardel,Orquesta Osvaldo Pugliese,"Abel Córdoba, Adrián Guida",1985-12-26,Buenos Aires,Milonga,Carlos Viván,Horacio Sanguinetti,1947,Odeon En el Colón,
4264,Milonga para Gardel,Orquesta Osvaldo Pugliese,Abel Córdoba,1989-06-26,Amsterdam,Milonga,Carlos Viván,Horacio Sanguinetti,1947,Odeon,
4265,Milonga para la parda,Orquesta Aníbal Troilo,Tito Reyes,1969-07-30,Buenos Aires,Milonga,Aníbal Troilo,Cátulo Castillo,,RCA-Victor AVL-3918 9162,
4269,Milonga para un viejo amor,Orquesta Juan D'Arienzo,Armando Laborde,1969-08-01,Buenos Aires,Milonga,Antonio Pernas Pérez,Antonio Ceti,,RCA-Victor AVL-3925 RAAN9177,
4271,Milonga que peina canas,Orquesta Miguel Caló,Raúl Berón,1942-09-09,Buenos Aires,Milonga,Alberto Gómez,Alberto Gómez,1942,Odeon 8370 12203,
4272,Milonga que peina canas,Orquesta Juan D'Arienzo,Armando Laborde,1952-08-13,Buenos Aires,Milonga,Alberto Gómez,Alberto Gómez,1942,RCA-Victor 68-0384 0046,
4276,Milonga que viene al tranco,Orquesta Ángel Vargas dir: Armando Lacava,Ángel Vargas,1953-05-08,Buenos Aires,Milonga,Camilo Serbali,Luis Prada,,RCA-Victor 68-0662 SO-0986,
4277,Milonga schupi,Orquesta Orquesta Tango Spleen,Instrumental,1900-01-01,Piacenza,Milonga,Mariano Speranza,,,Tango Spleen A28410,7071
4278,Milonga sentimental,,Carlos Gardel,1933-01-23,Buenos Aires,Milonga,Sebastián Piana,Homero Manzi,1931,Odeon 18874 7329,1310
4281,Milonga triste,,Ignacio Corsini,1946-06-19,Buenos Aires,Milonga,Sebastián Piana,Homero Manzi,1936,Odeon 18692 15600,1427
4282,Milonga triste,Orquesta Aníbal Troilo,Alberto Marino,1946-03-22,Buenos Aires,Milonga,Sebastián Piana,Homero Manzi,1936,RCA-Victor 60-0906 82040,
4283,Milonga triste,Orquesta Carlos García,Oscar Alonso,1970-03-31,Buenos Aires,Milonga,Sebastián Piana,Homero Manzi,1936,Odeon LDB-1002,
4284,Milonga triste,Guitarras de Héctor Arbelo,Julio Sosa,1962-07-24,Buenos Aires,Milonga,Sebastián Piana,Homero Manzi,1936,CBS-Columbia 8358 3059,
4288,Milonga vieja milonga,Orquesta Juan D'Arienzo,Instrumental,1937-09-22,Buenos Aires,Milonga,Francisco Aranaz,,,RCA-Victor 38283 93908,3341
4289,Milongón,,Ángel Vargas,1939-04-17,Buenos Aires,Milonga,Francisco Canaro,Homero Manzi,,RCA-Victor 38700,
4291,Milongón porteño,Orquesta Francisco Canaro,Tita Merello,1956-10-03,Buenos Aires,Milonga,Alberto Soifer,Manuel Romero,,Odeon 61016 21382,
4292,Milongueando en el cuarenta,Orquesta Aníbal Troilo,Instrumental,1941-06-17,Buenos Aires,Tango,Armando Pontier,,,RCA-Victor 39318 59524,
4294,Milonguera,Orquesta Francisco Rotundo,Floreal Ruiz,1954-04-12,Buenos Aires,Tango,José María Aguilar,José María Aguilar,1925,Pampa 14097 MAI-1331,
4295,Milonguera,Orquesta Osvaldo Pugliese,Juan Carlos Cobos,1953-07-14,Buenos Aires,Tango,José María Aguilar,José María Aguilar,1925,Odeon 55759 19018,255
4298,Milonguero triste,Orquesta Aníbal Troilo,Instrumental,1965-01-19,Buenos Aires,Tango,Aníbal Troilo,,,RCA-Victor AVL-3724 4898,
4299,Milonguero triste,Cuarteto Aníbal Troilo,Instrumental,1969-07-30,Buenos Aires,Tango,Aníbal Troilo,,,RCA-Victor AVL-3871 9165,
4300,Milonguero triste,Orquesta Aníbal Troilo,Instrumental,1965-01-04,Buenos Aires,Tango,Aníbal Troilo,,,RCA-Victor AVL-3577 4859,
4303,Milonguero viejo (Fresedo),Orquesta Carlos Di Sarli,Instrumental,1944-07-11,Buenos Aires,Tango,Carlos Di Sarli,Enrique Carrera Sotelo,,RCA-Victor 60-0487 79766,1507
4304,Milonguero viejo (Fresedo),Orquesta Carlos Di Sarli,Instrumental,1940-07-04,Buenos Aires,Tango,Carlos Di Sarli,Enrique Carrera Sotelo,,RCA-Victor 39017 39362,
4305,Milonguero viejo (Fresedo),Orquesta Carlos Di Sarli,Instrumental,1955-06-20,Buenos Aires,Tango,Carlos Di Sarli,Enrique Carrera Sotelo,,RCA-Victor 1A-0430 S3884,
4306,Milonguero viejo (Fresedo),Orquesta Osvaldo Fresedo,Ernesto Famá,1928-02-24,Buenos Aires,Tango,Carlos Di Sarli,Enrique Carrera Sotelo,,Odeon 5232 2074,1435
4309,Milonguita (Esthercita),Orquesta Alfredo De Angelis,Carlos Dante,1953-06-11,Buenos Aires,Tango,Enrique Delfino,Samuel Linnig,1920,Odeon 55700-A 18959,
4310,Milonguita (Esthercita),José de Alto y su orquesta típica-Dir: José Basso,Instrumental,1959-09-14,Buenos Aires,Tango,Enrique Delfino,Samuel Linnig,1920,Pathe 7AD506,
4311,Milonguita (Esthercita),Orquesta Ricardo Tanturi,Horacio Roca,1950-08-16,Buenos Aires,Tango,Enrique Delfino,Samuel Linnig,1920,RCA-Victor 60-2014 93826,
4312,Milonguita (Esthercita),Orquesta Aníbal Troilo,Nelly Vázquez,1965-01-13,Buenos Aires,Tango,Enrique Delfino,Samuel Linnig,1920,RCA-Victor AVL-3577 4888,
4314,Milontango,Orquesta Aníbal Troilo,Instrumental,1970-11-23,Buenos Aires,Milonga,Julián Plaza,,,RCA-Victor AVL-4006 10890,
4315,Mimí Pinsón,Orquesta Osmar Maderna,Adolfo Rivas,1951-03-29,Buenos Aires,Tango,Aquiles Roggero,José Rótulo,,RCA-Victor 60-2105,
4320,Mirala como se va,Guitarras de Héctor Arbelo,Julio Sosa,1962-07-24,Buenos Aires,Tonada,"Saúl Salinas, José Razzano","Saúl Salinas, José Razzano",,CBS-Columbia 8358 3060,
4322,Mirando al cielo,Orquesta Juan D'Arienzo,Armando Laborde,1953-12-28,Buenos Aires,Tango,Cayetano Puglisi,Enrique Cantore,,RCA-Victor 68-1407 1888,
4324,Mirando la lluvia,Orquesta Osvaldo Pugliese,"Alberto Morán, Roberto Chanel",1946-12-20,Buenos Aires,Tango,Adolfo Avilés,Leopoldo Torre Ríos,1946,Odeon 7688 16124,
4325,Miriñaque,Orquesta Aníbal Troilo,"Edmundo Rivero, Aldo Calderón",1949-10-20,Buenos Aires,Milonga,Alberto Mastra,Alberto Mastra,1947,RCA-Victor 60-1858 91436,
4326,Miriñaque,Orquesta Ángel Vargas dir: Daniel Lomuto,Ángel Vargas,1958-04-24,Buenos Aires,Milonga,Alberto Mastra,Alberto Mastra,1947,RCA-Victor 1A-1550 JAAB-0531,
4328,Miriñaque,Guitarras de Roberto Grela,Nelly Omar,1950-04-24,Buenos Aires,Milonga,Alberto Mastra,Alberto Mastra,1947,Odeon,
4329,Mis amigos de ayer,Orquesta Aníbal Troilo,Floreal Ruiz,1946-01-23,Buenos Aires,Tango,Francisco Lomuto,José María Contursi,1945,RCA-Victor 60-0873 80982,
4330,Mis amigos de ayer,Orquesta Francisco Canaro,Guillermo Rico,1945-12-28,Buenos Aires,Tango,Francisco Lomuto,José María Contursi,1945,Odeon 5276 15233,
4331,Mis amigos de ayer,Orquesta Juan D'Arienzo,Armando Laborde,1974-12-11,Buenos Aires,Tango,Francisco Lomuto,José María Contursi,1945,RCA-Victor AVS-4308 RAAN-16799,
4332,Mis amores de ayer,Orquesta Rodolfo Biagi,Alberto Amor,1945-09-06,Buenos Aires,Tango,"Oscar Sabino, M. Rocha",Horacio Sanguinetti,,Odeon 5654 14898,
4334,Mis delirios,,"Agustín Magaldi, Pedro Noda",1932-09-01,Buenos Aires,Vals,"Agustín Magaldi, Pedro Noda",Roque Corletto,,RCA-Victor 37264 66893,3825
4335,Mis delirios,Orquesta Francisco Rotundo,Floreal Ruiz,1949-09-30,Buenos Aires,Vals,"Agustín Magaldi, Pedro Noda",Roque Corletto,,Odeon 30654 17443,
4336,Mis flores negras,,Carlos Gardel,1933-06-12,Buenos Aires,Pasillo,"Julio Flórez, Félix Scolati Almeyda",Julio Flórez,,Odeon 18886 7452,854
4339,Mis lágrimas,Orquesta Luis Petrucelli,Pedro Lauga,1930-11-04,Buenos Aires,Tango,Ángel Maffia,Enrique Cadícamo,,RCA-Victor 47518 60480,4520
4340,Mis manos (Mes mains),Orquesta José Basso,Floreal Ruiz,1956-10-09,Buenos Aires,Arr. en tango,"Gilbert Becaud, Pierre Leroyer","Guillermo Pelay, Horacio Pelay",,Odeon 52037 21399,
4341,Misa de once,,Carlos Gardel,1929-09-14,Buenos Aires,Tango,Juan José Guichandut,Armando Tagini,1929,Odeon 18290 4594,1429
4342,Misa de once,Orquesta Alfredo De Angelis,Julio Martel,1949-10-14,Buenos Aires,Tango,Juan José Guichandut,Armando Tagini,1929,Odeon 30425-B 17456,
4343,Misa de once,Orquesta Rodolfo Biagi,Jorge Ortiz,1940-10-15,Buenos Aires,Tango,Juan José Guichandut,Armando Tagini,1929,Odeon 5617 10774,
4345,Misterio [b],Guitarras de Roberto Grela,Nelly Omar,1952-09-24,Buenos Aires,Canción,Américo Chiriff,José Alonso y Trelles,1919,Odeon,
4350,Mocito guapo,Orquesta Ángel Vargas dir: Edelmiro D'Amario,Ángel Vargas,1957-08-23,Buenos Aires,Tango,Saverio De Rosas,Juan Feliú,,RCA-Victor 1A-1376 12TB0308,
4352,Mocosa,Orquesta Atilio Stampone,Roberto Goyeneche,1971-12-06,Buenos Aires,Tango,Atilio Stampone,Andrés Lizárraga,,RCA-Victor,743
4353,Mocosita,Orquesta Alfredo De Angelis,Carlos Dante,1949-04-20,Buenos Aires,Tango,Gerardo Matos Rodríguez,Víctor Soliño,1926,Odeon 30420-A 17257,
4354,Mocosita,,Instrumental,1926-11-24,Buenos Aires,Tango,Gerardo Matos Rodríguez,Víctor Soliño,1926,RCA-Victor 79763 1016,
4357,Mon cherie (Mi querida),Orquesta Alfredo De Angelis,Juan Carlos Godoy,1962-12-10,Buenos Aires,Tango,Alfredo De Angelis,José Rótulo,,Odeon 52780-B 20825,
4358,Moneda de Cobre,Orquesta Lucio Demare,Raúl Berón,1943-04-01,Buenos Aires,Tango,Carlos Viván,Horacio Sanguinetti,1942,Odeon 8064 12668,
4359,Moneda de Cobre,Orquesta Ricardo Tanturi,Alberto Castillo,1942-12-04,Buenos Aires,Tango,Carlos Viván,Horacio Sanguinetti,1942,RCA-Victor 39807 84093,584
4362,Monserga,Orquesta Leopoldo Federico,Julio Sosa,1962-04-19,Buenos Aires,Tango,Américo Viglione,Ernesto Cardenal,,CBS-Columbia 8340 2928,
4363,Montaraz,Orquesta Osvaldo Pugliese,Instrumental,1980-09-10,Buenos Aires,Tango,Vicente Greco,,,Odeon 6160 45454,
4364,Monte criollo,,Azucena Maizani,1935-05-24,Buenos Aires,Tango,Francisco Pracánico,Homero Manzi,1935,Odeon 12105-A 8143,1924
4369,Morena,Orquesta Aníbal Troilo,Instrumental,1965-01-13,Buenos Aires,Milonga,Julián Plaza,,,RCA-Victor AVL-3577 4889,
4370,Morenita mía,Orquesta Ángel Vargas dir: Edelmiro D'Amario,Ángel Vargas,1956-05-21,Buenos Aires,Tango,Enrique Cadícamo,Enrique Cadícamo,,RCA-Victor 68-2385 SO-4964,
4371,Mosquetero de arrabal,Orquesta Roberto Firpo,Roberto Díaz,1932-05-09,Buenos Aires,Tango,Armando Tagini,Armando Tagini,,Odeon 3042 7130,6938
4372,Motivo de vals,Orquesta Horacio Salgán,Ángel Díaz,1950-11-08,Buenos Aires,Vals,Horacio Salgán,Carlos Bahr,,,6915
4373,Motivo sentimental,Orquesta Carlos Di Sarli,Alberto Podestá,1944-07-20,Buenos Aires,Tango,Emilio Brameri,Carlos Bahr,1944,RCA-Victor 60-0509 79791,
4374,Motivo sentimental,Orquesta José García,Alfredo Rojas,1944-10-02,Buenos Aires,Tango,Emilio Brameri,Carlos Bahr,1944,Odeon 7418 14125,
4376,Mozo guapo,Orquesta Ricardo Tanturi,Alberto Castillo,1941-02-19,Buenos Aires,Milonga,Ricardo Tanturi,Eusebio López,1941,RCA-Victor 39228 39813,1675
4377,Muchacha,Orquesta Osvaldo Pugliese,Jorge Maciel,1956-10-26,Buenos Aires,Tango,"Jesús Rilo Suárez, Luis Caruso","Jesús Rilo Suárez, Luis Caruso",,Odeon 52047 21472,
4378,Muchachita de barrio,Orquesta Armando Cupo,Alberto Morán,1955-09-26,Buenos Aires,Tango,Jorge Caldara,Mario Soto,,Odeon,3363
4380,Muchachita del recuerdo,Orquesta Juan D'Arienzo,Armando Laborde,1947-09-17,Buenos Aires,Tango,"Ernesto de la Cruz, Cayetano Puglisi",Carlos Marín,,RCA-Victor 60-1433 83640,
4382,Muchacho,Trío Alejandro Scarpino,Ángel Vargas,1954-09-13,Buenos Aires,Tango,Edgardo Donato,Celedonio Flores,1926,RCA-Victor 68-1830 SO-3337,1269
4383,Muchacho,Orquesta Ángel D'Agostino,Ángel Vargas,1940-11-13,Buenos Aires,Tango,Edgardo Donato,Celedonio Flores,1926,RCA-Victor 39136 39632,
4384,Muchacho,Orquesta Ángel D'Agostino,Rubén Cané,1953-09-03,Buenos Aires,Tango,Edgardo Donato,Celedonio Flores,1926,RCA-Victor 68-1054 SO-1622,
4390,Muchachos comienza la ronda,Orquesta Osvaldo Pugliese,Roberto Chanel,1943-08-27,Buenos Aires,Tango,Luis Porcell,Leopoldo Díaz Vélez,1943,Odeon 7661 13081,
4391,Muchachos comienza la ronda,Orquesta Ricardo Tanturi,Enrique Campos,1943-08-06,Buenos Aires,Tango,Luis Porcell,Leopoldo Díaz Vélez,1943,RCA-Victor 60-0134 77129,
4392,Muchachos mi último tango,Orquesta Osvaldo Pugliese,Miguel Montero,1956-05-30,Buenos Aires,Tango,Ernesto Rossi,Justo Ricardo Thompson,1944,Odeon 51968 21025,425
4393,Muchachos mi último tango,Orquesta Pedro Laurenz,Alberto Podestá,1944-03-01,Buenos Aires,Tango,Ernesto Rossi,Justo Ricardo Thompson,1944,Odeon 7636 13611,
4394,Muchachos silencio,Orquesta Francisco Rotundo,Floreal Ruiz,1953-01-05,Buenos Aires,Tango,Juan José Buscaglia,Alberto Ramponi,,Odeon 55542 18766,
4395,Muchachos yo tengo un tango,Orquesta Alfredo Gobbi,Pedro Lozano,1948-05-12,Buenos Aires,Tango,Natty Paredes,Natty Paredes,,RCA-Victor 60-1594 83918,
4396,"Muchachos, a mí no me cambia nadie",Orquesta Carlos Figari,Tita Merello,1969-11-13,Buenos Aires,Milonga,Tito Ribero,Norberto Aroldi,,Odeon,
4397,Mucho mucho,Orquesta Juan D'Arienzo,Armando Laborde,1953-08-13,Buenos Aires,Milonga,Juan Cao,Miguel Bucino,,RCA-Victor 68-0988 1087,
4398,Mujercita,Orquesta Alfredo De Angelis,Roberto Mancini,1963-11-29,Buenos Aires,Tango,Hipólito Caron,,,Odeon 7040-B 29637,
4399,Mulata,Orquesta Miguel Caló,Raúl Berón,1944-06-22,Buenos Aires,Milonga,Roberto Nievas Blanco,Roberto Nievas Blanco,,Odeon 8389 13892,
4400,Mulita,Guitarras de Roberto Grela,Nelly Omar,1950-04-25,Buenos Aires,Canción,Francisco Amor,Francisco Amor,,Odeon,
4401,Mundana,Orquesta Carlos García,Francisco Llanos,1978-10-31,Buenos Aires,Tango,"José Basso, Floreal Ruiz",Manuel Barros,,EMI-Odeon 6947,6219
4402,Mundana,Orquesta José Basso,Floreal Ruiz,1956-11-29,Buenos Aires,Tango,"José Basso, Floreal Ruiz",Manuel Barros,,Odeon 52099 21604,
4405,Muñeca brava,Orquesta Alfredo De Angelis,Lalo Martel,1959-06-05,Buenos Aires,Tango,Luis Visca,Enrique Cadícamo,1929,Odeon 52518-B 24092,
4406,Muñeca brava,Orquesta Alfredo De Angelis,Carlos Gardel,1974-08-23,Buenos Aires,Tango,Luis Visca,Enrique Cadícamo,1929,Odeon 8152-A 41639,
4407,Muñeca brava,Orquesta Ricardo Tanturi,Alberto Castillo,1942-09-22,Buenos Aires,Tango,Luis Visca,Enrique Cadícamo,1929,RCA-Victor 39711 69949,744
4411,Muñeca del Once,Orquesta Ángel Vargas dir: Armando Lacava,Ángel Vargas,1953-10-13,Buenos Aires,Tango,"Juan Pomati, Ernesto Rossi",Juan Manuel Mañueco,,RCA-Victor 68-1192 SO-1717,
4415,Muñeco al suelo,Orquesta Francisco Lomuto,Antonio Buglione,1930-07-16,Buenos Aires,Tango,Modesto Papavero,Venancio Clauso,1930,Nacional Odeon 7856 5906,2899
4417,Muñequita,Orquesta Ángel D'Agostino,Ángel Vargas,1944-07-19,Buenos Aires,Tango,Francisco Lomuto,Adolfo Herschel,1918,RCA-Victor 60-0493 79780,
4418,Muñequita,Orquesta Antonio Rodio,Alberto Serna,1944-07-16,Buenos Aires,Tango,Francisco Lomuto,Adolfo Herschel,1918,Odeon 7605 13922-1,
4420,Muriéndome de amor,Orquesta Alfredo De Angelis,Oscar Larroca,1956-12-11,Buenos Aires,Tango,Manuel Sucher,Carlos Bahr,1956,Odeon 52098-A 21650,
4421,Muriéndome de amor,Orquesta Carlos Di Sarli,Jorge Durán,1956-12-12,Buenos Aires,Tango,Manuel Sucher,Carlos Bahr,1956,RCA-Victor 1A-1165 T0021,
4423,Muriéndome de amor,Orquesta Francisco Canaro,Guillermo Rico,1956-12-14,Buenos Aires,Tango,Manuel Sucher,Carlos Bahr,1956,Odeon 52097 21677,
